Weapon,Type,Country
Bofors 37 mm,Anti-tank weapons,The Netherlands
Solothurn S-18/1100 (By the KNIL),Anti-tank weapons,The Netherlands
Browning Hi-Power,Sidearms,New Zealand
Enfield No. 2,Sidearms,New Zealand
Smith & Wesson M&P,Sidearms,New Zealand
Webley Revolver,Sidearms,New Zealand
Luger P08,Sidearms,New Zealand
Lee–Enfield,Rifles,New Zealand
Thompson submachine gun,Submachine guns,New Zealand
Sten,Submachine guns,New Zealand
Owen submachine gun,Submachine guns,New Zealand
Lewis gun,Machine guns,New Zealand
Bren light machine gun,Machine guns,New Zealand
Vickers machine gun,Machine guns,New Zealand
Charlton Automatic Rifle (1500),Machine guns,New Zealand
PIAT,Anti-tank weapons,New Zealand
Boys anti-tank rifle,Anti-tank weapons,New Zealand
Mills bomb,Grenades,New Zealand
Colt M1911 (some were purchased prior to production of M1914),Sidearms,Norway
"Kongsberg Colt (Norwegian produced Colt M1911, standard issue for the Norwegian army until 1940)",Sidearms,Norway
Nagant M1895 (earlier service pistol that preceded the M1914 in service. Still in use by 1940.),Sidearms,Norway
Luger P08,Sidearms,Norway
Lee–Enfield (used by the resistance movement),Rifles,Norway
Krag-Jørgensen M1894 (Standard service rifle of the Norwegian forces until 1940. Carbines and sniper versions were also used.),Rifles,Norway
vz. 24,Rifles,Norway
Automatgevär m/42 (used by Police Troops trained in neutral Sweden),Rifles,Norway
Gevär M/96 (used by Police Troops),Rifles,Norway
Karabiner 98k,Rifles,Norway
Sjögren shotgun (limited use by the Norwegian Army),Shotguns,Norway
Lewis gun,Machine guns,Norway
Browning M1917,Machine guns,Norway
Browning M1918,Machine guns,Norway
Colt M/29 (standard heavy machine gun and anti air defense),Machine guns,Norway
Hotchkiss M1914 machine gun,Machine guns,Norway
Madsen M/22 and M/14 (standard light machine gun),Machine guns,Norway
Makeshift grenades and bombs,Grenades,Norway
Browning Hi-Power,Sidearms,Poland
Colt M1911 (used by the Polish Armed Forces in the West),Sidearms,Poland
Ruby pistol,Sidearms,Poland
Nagant M1895,Sidearms,Poland
Nagant wz.1932,Sidearms,Poland
Radom Pistolet wz.35 Vis (standard service sidearm in 1939),Sidearms,Poland
TT-33 (used by the Polish Armed Forces in the East),Sidearms,Poland
Lee–Enfield (used by the Polish Armed Forces in the West),Rifles,Poland
"Berthier rifle (stored before WW2, used by the second-line troops in 1939)",Rifles,Poland
"Lebel rifle (stored before WW2, used by the second-line troops in 1939)",Rifles,Poland
Mosin–Nagant (used by the Polish Armed Forces in the East),Rifles,Poland
"Karabinek wz. 91/98/23 (based on Mosin Nagant, used in Invasion of Poland)",Rifles,Poland
Karabinek wz. 91/98/25,Rifles,Poland
Karabinek wz. 91/98/26,Rifles,Poland
"Karabinek wz.29 (main service rifle in 1939, based on Karabin wz.98a)",Rifles,Poland
Karabin wz.98a (main service rifle in 1939),Rifles,Poland
Kbsp wz. 1938M (small number were produced),Rifles,Poland
Gewehr 98 (used by the resistance movement),Rifles,Poland
Karabiner 98k (used by the resistance movement),Rifles,Poland
SVT-40 (used by the Polish Armed Forces in the East),Rifles,Poland
Thompson submachine gun (used by the Polish Armed Forces in the West),Submachine gun,Poland
Sten (used by the Polish Armed Forces in the West),Submachine gun,Poland
Mors wz. 39 (prototypes only),Submachine gun,Poland
Błyskawica submachine gun (used by the resistance movement),Submachine gun,Poland
Choroszmanów submachine gun (used by the resistance movement),Submachine gun,Poland
Bechowiec-1 (used by the resistance movement),Submachine gun,Poland
PPS submachine gun (used by the Polish Armed Forces in the East),Submachine gun,Poland
PPSh-41 (used by the Polish Armed Forces in the East),Submachine gun,Poland
Lewis gun,Machine guns,Poland
Browning M1917,Machine guns,Poland
Ckm wz.30 (Polish standard heavy machine gun variant of the Browning 1917),Machine guns,Poland
Browning M1918,Machine guns,Poland
Ckm wz.32 (a Polish variant of the Browning M1919 chambered in 7.92mm),Machine guns,Poland
Browning wz.1928 (standard light machine gun),Machine guns,Poland
Maxim wz. 1910 (used by the Polish Armed Forces in the East),Machine guns,Poland
Bren (used by the Polish Armed Forces in the West)),Machine guns,Poland
Type C machine gun,Machine guns,Poland
Degtyaryov machine gun (used by the Polish Armed Forces in the East),Machine guns,Poland
PIAT (used by the Polish Armed Forces in the West),Anti-tank weapons,Poland
Kb ppanc wz.35,Anti-tank weapons,Poland
wz.36 (Polish Bofors 37mm),Anti-tank weapons,Poland
Panzerfaust (used by the resistance movement),Anti-tank weapons,Poland
Molotov Cocktail,Grenades,Poland
wz.1933 fragmentation grenade,Grenades,Poland
wz.1933 concussion grenade,Grenades,Poland
wz.S smoke grenade,Grenades,Poland
Granatnik wz.36,Grenade launchers,Poland
WS-1 flamethrower,Flamethrowers,Poland
WS-2 flamethrower,Flamethrowers,Poland
Zieliński flamethrower,Flamethrowers,Poland
Sender flamethrower,Flamethrowers,Poland
wz.18 mortar,Mortars,Poland
wz.18/31 mortar,Mortars,Poland
wz.28 mortar,Mortars,Poland
wz.31 mortar,Mortars,Poland
wz.32 heavy mortar,Mortars,Poland
wz.40 mortar,Mortars,Poland
Beretta M 1934,Sidearms,Romania
Beretta M 1935,Sidearms,Romania
Ruby pistol,Sidearms,Romania
Steyr M1912,Sidearms,Romania
Tokarev TT-33 (captured),Sidearms,Romania
Carcano,Rifles,Romania
Mosin–Nagant (captured),Rifles,Romania
Mannlicher M1895 (issued to second line troops),Rifles,Romania
"vz.24 (standard infantry rifle, adopted in 1938)",Rifles,Romania
Beretta M1938,Submachine guns,Romania
Orita M1941,Submachine guns,Romania
MP28,Submachine guns,Romania
MP40,Submachine guns,Romania
MP41,Submachine guns,Romania
PPSh-41 (captured),Submachine guns,Romania
Lewis gun,Machine guns,Romania
PM M1910 (captured),Machine guns,Romania
ZB vz. 26,Machine guns,Romania
ZB-30,Machine guns,Romania
ZB-53,Machine guns,Romania
MG 34,Machine guns,Romania
Bofors 37 mm,Anti-tank weapons,Romania
Panzerschreck,Anti-tank weapons,Romania
Panzerfaust,Anti-tank weapons,Romania
Pistole vz. 22,Sidearms,Slovak Republic
Pistole vz. 24,Sidearms,Slovak Republic
ZB vz. 24,Rifles,Slovak Republic
Karabiner 98k,Rifles,Slovak Republic
ZB vz. 26,Light machine guns,Slovak Republic
ZB vz. 30,Light machine guns,Slovak Republic
Schwarzlose M1907/12 (as Kulomet vz. 24),Heavy machine guns,Slovak Republic
80 mm vz. 36 (medium mortar),Mortars,Slovak Republic
Webley Revolver,Sidearms,South Africa
Lee-Enfield No.1 Mk 3*,Rifles,South Africa
Lee–Enfield No.4 Mk 1,Rifles,South Africa
Jungle Carbine,Rifles,South Africa
Rieder Automatic Rifle,Rifles,South Africa
Thompson M1928,Submachine guns,South Africa
Sten,Submachine guns,South Africa
Bren light machine gun,Machine guns,South Africa
Vickers machine gun,Machine guns,South Africa
M1 Bazooka,Anti-tank weapons,South Africa
PIAT,Anti-tank weapons,South Africa
3.5-inch rocket launcher,Anti-tank weapons,South Africa
2-inch mortar,Mortars,South Africa
Colt M1911 (American Lend-Lease),Sidearms,USSR
Nagant 1895,Sidearms,USSR
Mauser C96 (captured),Sidearms,USSR
TT-33,Sidearms,USSR
Korovin TK,Sidearms,USSR
M1 Carbine (American Lend-Lease),Rifles,USSR
Mosin–Nagant M1891/30,Rifles,USSR
Mosin–Nagant M1938 Carbine,Rifles,USSR
Mosin–Nagant M1944 Carbine,Rifles,USSR
Karabiner 98k (captured from the Germans),Rifles,USSR
SKS (limited use in 1945),Rifles,USSR
Tokarev SVT-38 and SVT-40,Rifles,USSR
AVS-36,Automatic rifles and battle rifles,USSR
AVT-40,Automatic rifles and battle rifles,USSR
AS-44,Automatic rifles and battle rifles,USSR
"Fedorov Avtomat (Winter War only, cut from service due to high production costs)",Automatic rifles and battle rifles,USSR
Boys anti-tank rifle (British Lend-Lease),Anti-tank rifles,USSR
PTRD-41,Anti-tank rifles,USSR
PTRS-41,Anti-tank rifles,USSR
M50 Reising (American Lend-Lease),Submachine guns,USSR
Thompson submachine gun (American Lend-Lease),Submachine guns,USSR
MP-40 (captured),Submachine guns,USSR
PPD-34/38,Submachine guns,USSR
PPD-40,Submachine guns,USSR
PPSh-41,Submachine guns,USSR
PPS-42 and PPS-43,Submachine guns,USSR
Lewis gun (received as Lend-Lease aid),Machine guns,USSR
Maxim M1910,Machine guns,USSR
DTM-4,Machine guns,USSR
DS-39 (production was discontinued after the German invasion),Machine guns,USSR
RPD (Limited use in 1945),Machine guns,USSR
DShK,Machine guns,USSR
SG-43 Goryunov,Machine guns,USSR
Degtyaryov DP-28,Machine guns,USSR
LAD machine gun (Trials by the Red Army. Maybe it was used? Take this with a citation.),Machine guns,USSR
M1924 Stielhandgranate (captured from the Germans),Grenades,USSR
Molotov cocktail,Grenades,USSR
M1914 grenade,Grenades,USSR
RPG-6,Grenades,USSR
RGD-33 grenade,Grenades,USSR
RPG-40,Grenades,USSR
RG-41,Grenades,USSR
RG-42,Grenades,USSR
RPG-43,Grenades,USSR
F1 grenade,Grenades,USSR
Dyakonoff grenade thrower (Attach on M91/30 rifle only),Grenade launchers,USSR
NR-40,Knives,USSR
ROKS-2,Flamethrowers,USSR
ROKS-3,Flamethrowers,USSR
M1 Bazooka (US Lend Lease),Anti-tank weapons,USSR
PIAT (British Lend Lease),Anti-tank weapons,USSR
Bofors 37 mm,Anti-tank weapons,USSR
Panzerschreck (captured from the enemy),Anti-tank weapons,USSR
Panzerfaust 60 (captured from the enemy),Anti-tank weapons,USSR
TM-35 mine (anti tank mine),Mines,USSR
PMK-40 (anti personnel mine),Mines,USSR
Type 80 Star,Sidearms,Thailand
Colt M1911,Sidearms,Thailand
Type 79 Colt Super,Sidearms,Thailand
Type 82 Colt Revolver,Sidearms,Thailand
FN M1900,Sidearms,Thailand
Nambu Type 14,Sidearms,Thailand
Type 80 Machine pistol,Sidearms,Thailand
Luger pistol,Sidearms,Thailand
Arisaka Type 38,Rifles,Thailand
Arisaka Type 99,Rifles,Thailand
Type 46 Siamese Mauser,Rifles,Thailand
Type 46/66 Siamese Mauser,Rifles,Thailand
Type 47 Siamese Mauser,Rifles,Thailand
Type 47/66 Siamese Mauser,Rifles,Thailand
Type 66 Siamese Mauser,Rifles,Thailand
Nambu Type 100,Submachine guns,Thailand
MP 18,Submachine guns,Thailand
Browning M1917,Machine guns,Thailand
Type 66 heavy machine gun,Machine guns,Thailand
Vickers machine gun,Machine guns,Thailand
Type 92 heavy machine gun,Machine guns,Thailand
Type 66 light machine gun,Machine guns,Thailand
Type 97 automatic cannon,Anti-tank weapons,Thailand
Type 91 grenade,Grenades,Thailand
Type 97 grenade,Grenades,Thailand
Type 10 grenade discharger,Grenade dischargers,Thailand
FN/Inglis Browning Hi-Power (As Pistol No.2 Mk.I),Sidearms,UK
Enfield No. 2,Sidearms,UK
Colt M1911,Sidearms,UK
Colt Official Police,Sidearms,UK
Smith & Wesson M&P,Sidearms,UK
Welrod,Sidearms,UK
Webley Mk.VI (.455) & Mk.IV (.38/200),Sidearms,UK
M1 Garand,Rifles,UK
M1 Carbine,Rifles,UK
Rifle .303 Pattern 1914 Enfield,Rifles,UK
No.III Lee–Enfield,Rifles,UK
No.4 Mk I Lee–Enfield,Rifles,UK
Rifle No.5 Mk I,Rifles,UK
Remington Model 8 (Used by home guard),Rifles,UK
Howell Automatic Rifle (Used by home guard),Rifles,UK
M1D Garand,Sniper rifles,UK
Pattern 1914 Enfield,Sniper rifles,UK
Lee–Enfield No 4 Mk 1 (T),Sniper rifles,UK
"Thompson M1928, M1928A1, M1A1",Submachine guns,UK
Sterling submachine gun,Submachine guns,UK
Sten (About 4 million produced from all sources),Submachine guns,UK
Lanchester submachine gun (Used by Royal Navy and RAF),Submachine guns,UK
Lewis Gun,Machine guns,UK
Browning M1919,Machine guns,UK
Browning M2,Machine guns,UK
Bren light machine gun,Machine guns,UK
Vickers machine gun,Machine guns,UK
Vickers K machine gun,Machine guns,UK
Vickers-Berthier (Indian Army use),Machine guns,UK
Besa machine gun,Machine guns,UK
M1 Bazooka,Anti-tank weapons,UK
"Projector, Infantry, Anti-Tank (PIAT)",Anti-tank weapons,UK
"Boys Anti-Tank Rifle, .55",Anti-tank weapons,UK
Bofors 37 mm,Anti-tank weapons,UK
"No.36M Mk.I (Fragmentation hand/rifle grenade known as ""Mills bomb"")",Grenades,UK
"Grenade, Rifle No.68 AT (HEAT Anti-tank rifle grenade)",Grenades,UK
No.69 Mk.I (Concussion hand grenade),Grenades,UK
"No. 73 Grenade (Also known as ""Thermos grenade"", anti-tank grenade)",Grenades,UK
"No.74 ST Grenade (Known as ""sticky bomb"", anti-tank hand grenade)",Grenades,UK
"No.75 Anti-Tank Hand Grenade (Known as ""Hawkins grenade"" or ""Hawkins mine"")",Grenades,UK
No. 76 Special Incendiary Grenade (Phosphorus hand grenade),Grenades,UK
No 77 grenade (White phosphorus hand grenade),Grenades,UK
"No.82 Hand Grenade (Known as ""Gammon grenade/bomb"")",Grenades,UK
2-inch mortar,Mortars,UK
Ordnance ML 3-inch Mortar,Mortars,UK
"Flamethrower, Portable, No 2 ""Lifebuoy""",Flamethrowers,UK
BC-41,Knives,UK
Smatchet,Knives,UK
Kukri (Used by Gurkha regiments),Knives,UK
Fairbairn-Sykes Fighting Knife,Knives,UK
Metropolitan-Vickers Beetle (cable guided explosive machine),Guided explosive weapons,UK
Colt M1903 Pocket Hammerless,Sidearms,US
Colt M1911,Sidearms,US
Colt M1917 revolver,Sidearms,US
"Colt Official Police (Colt M1927 also known as ""Colt Commando"")",Sidearms,US
Colt New Service Revolver,Sidearms,US
Smith & Wesson M&P,Sidearms,US
M1 Garand,Rifles,US
M1 Carbine,Rifles,US
M2 Carbine,Rifles,US
M1917 Enfield,Rifles,US
Springfield M1903A1,Rifles,US
M1941 Johnson rifle,Rifles,US
M1C Garand,Sniper rifles,US
M1917 Enfield,Sniper rifles,US
Springfield M1903A1 (Used by USMC),Sniper rifles,US
Springfield M1903A4,Sniper rifles,US
Winchester M1895,Sniper rifles,US
Winchester Model 70,Sniper rifles,US
M18 recoilless rifle,Recoilless rifles,US
Browning Auto-5,"Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
Winchester M1897,"Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
"Winchester M1912 (Used also in the Western Front, standard issue shotgun of the US Army)","Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
Winchester M1921,"Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
Remington M1931,"Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
Stevens M520-30 and M620,"Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
Ithaca 37,"Shotguns (Commonly used by the Marines in the Pacific theater, limited use in Europe)",US
M3A1,Submachine guns,US
M50 Reising,Submachine guns,US
United Defense M42,Submachine guns,US
M1A1 Thompson,Submachine guns,US
Lewis Gun,Machine guns,US
Browning M1917A1 heavy machine gun,Machine guns,US
Browning M1918A2,Machine guns,US
Browning M1919A4 medium machine gun,Machine guns,US
Browning M1919A6 medium machine gun,Machine guns,US
Browning M2HB heavy machine gun,Machine guns,US
M1941 Johnson machine gun,Machine guns,US
"M1/A1 ""Bazooka"" rocket launcher",Anti-tank weapons,US
"M9 ""Bazooka"" rocket launcher",Anti-tank weapons,US
"M18 recoilless rifle (Uncommon in Europe, some use in the Pacific)",Anti-tank weapons,US
M2 flamethrower,Flamethrowers,US
M1A1 Flamethrower,Flamethrowers,US
Ronson flamethrower,Flamethrowers,US
Mk.2 Fragmentation Hand Grenade,Grenades,US
M7 grenade launcher (M1 Garand Attachment),Grenade launchers,US
M1 Mortar,Mortars,US
M2 4.2-inch mortar,Mortars,US
M2 Mortar,Mortars,US
Ka-Bar,Edged weapons,US
M1 bayonet,Edged weapons,US
M3 fighting knife,Edged weapons,US
M4 bayonet,Edged weapons,US
M1905 bayonet,Edged weapons,US
M1917 bayonet,Edged weapons,US
M1942 bayonet,Edged weapons,US
Mark I trench knife,Edged weapons,US
United States Marine Raider Stiletto,Edged weapons,US
M1917 bolo knife M1909 bolo knife,Edged weapons,US
Ruby pistol,Sidearms,Yugoslavia
FN M1910/22,Sidearms,Yugoslavia
Nagant M1895 (Soviet Aid),Sidearms,Yugoslavia
Luger P08 pistol (Captured),Sidearms,Yugoslavia
Mauser C96,Sidearms,Yugoslavia
Walther P38 (Captured),Sidearms,Yugoslavia
TT-33 (Soviet Aid),Sidearms,Yugoslavia
Carcano (Captured),Rifles,Yugoslavia
FN M1924,Rifles,Yugoslavia
Steyr-Mannlicher M1895,Rifles,Yugoslavia
vz. 24,Rifles,Yugoslavia
Kbk wz. 1929,Rifles,Yugoslavia
Gewehr 98,Rifles,Yugoslavia
Kar98k (Captured),Rifles,Yugoslavia
M1 Thompson (British Aid),Submachine guns,Yugoslavia
Sten gun (British Aid),Submachine guns,Yugoslavia
Beretta M1938 (Captured),Submachine guns,Yugoslavia
Suomi KP/-31 (Captured),Submachine guns,Yugoslavia
Danuvia 43M (Captured),Submachine guns,Yugoslavia
Erma EMP-35,Submachine guns,Yugoslavia
MP 40 (Captured),Submachine guns,Yugoslavia
PPSh-41 (Soviet Aid),Submachine guns,Yugoslavia
PPS-43 (Soviet Aid),Submachine guns,Yugoslavia
Bren light machine gun (British Aid),Machine guns,Yugoslavia
Fiat–Revelli M1914,Machine guns,Yugoslavia
Breda M1930 (Captured),Machine guns,Yugoslavia
Breda M1937 (Captured),Machine guns,Yugoslavia
Chauchat,Machine guns,Yugoslavia
Madsen machine gun,Machine guns,Yugoslavia
ZB vz. 26,Machine guns,Yugoslavia
MG-34 (Captured),Machine guns,Yugoslavia
MG-42 (Captured),Machine guns,Yugoslavia
Vasić M 12,Grenades,Yugoslavia
M1924 grenade (Captured),Grenades,Yugoslavia
M1939 grenade (Captured),Grenades,Yugoslavia
Flammenwerfer 42 (Captured),Flamethrowers,Yugoslavia
M1 Bazooka (American Aid),Anti-tank weapons,Yugoslavia
PIAT (British Aid),Anti-tank weapons,Yugoslavia
Boys anti-tank rifle (British Aid),Anti-tank weapons,Yugoslavia